files,chunks,candidates,clones,statusUpdates,timestamp
109000,8048500,0,0,3,1362,
109000,8096000,0,0,3,1369,
109000,8152800,0,0,3,1375,
109000,8181300,0,0,3,1382,
109000,8212200,0,0,3,1389,
109000,8223000,0,0,3,1396,
109000,8268100,0,0,3,1403,
109000,8281300,0,0,3,1409,
109000,8318800,0,0,3,1416,
109000,8319600,0,0,3,1423,
109000,8319600,0,0,3,1430,
109000,8319600,0,0,3,1436,
109000,8322300,0,0,3,1443,
109000,8322300,0,0,3,1450,
109000,8322300,0,0,3,1457,
109000,8322300,0,0,3,1464,
109000,8340200,0,0,3,1471,
109000,8391700,0,0,3,1477,
109000,8473900,0,0,3,1484,
109000,8530800,0,0,3,1491,
109000,8555200,0,0,3,1498,
109000,8555500,0,0,3,1505,
109000,8555500,0,0,3,1512,
109000,8555500,0,0,3,1518,
109000,8555500,0,0,3,1525,
109000,8555500,0,0,3,1532,
109000,8555500,0,0,3,1539,
109000,8555500,0,0,3,1546,
109000,8555500,0,0,3,1552,
109000,8555500,0,0,3,1559,
109000,8569100,0,0,3,1566,
109000,8577200,0,0,3,1573,
109000,8583000,0,0,3,1580,
109000,8595300,0,0,3,1587,
109000,8657000,0,0,3,1593,
109000,8730100,0,0,3,1600,
109000,8793000,0,0,3,1607,
109000,8854800,0,0,3,1614,
109000,8887500,0,0,3,1621,
109000,8890600,0,0,3,1628,
109000,8896500,0,0,3,1635,
109000,8901200,0,0,3,1642,
109000,8904700,0,0,3,1649,
109000,8917500,0,0,3,1656,
109000,8921100,0,0,3,1663,
109000,8924900,0,0,3,1670,
109000,8934800,0,0,3,1676,
109000,8964400,0,0,3,1683,
109000,9017300,0,0,3,1690,
109000,9071800,0,0,3,1697,
109000,9101400,0,0,3,1704,
109000,9127800,0,0,3,1711,
109000,9198500,0,0,3,1718,
109000,9253900,0,0,3,1725,
109000,9306700,0,0,3,1732,
109000,9363900,0,0,3,1739,
109000,9425900,0,0,3,1746,
109000,9489900,0,0,3,1753,
109000,9543400,0,0,3,1760,
109000,9600500,0,0,3,1767,
109000,9660000,0,0,3,1774,
109000,9708300,0,0,3,1782,
109000,9777200,0,0,3,1789,
109000,9841900,0,0,3,1796,
109000,9918600,0,0,3,1803,
109000,9980000,0,0,3,1810,
109000,10014700,0,0,3,1817,
109000,10038500,0,0,3,1824,
109000,10038500,0,0,3,1831,
109000,10038500,0,0,3,1838,
109000,10038500,0,0,3,1846,
109000,10038500,0,0,3,1853,
109000,10051300,0,0,3,1860,
109000,10059900,0,0,3,1867,
109000,10107900,0,0,3,1874,
109000,10132800,0,0,3,1882,
109000,10190600,0,0,3,1889,
109000,10266000,0,0,3,1896,
109000,10328200,0,0,3,1903,
109000,10383900,0,0,3,1910,
109000,10439400,0,0,3,1918,
109000,10513100,0,0,3,1925,
109000,10578600,0,0,3,1932,
109000,10647700,0,0,3,1940,
109000,10700000,0,0,3,1947,
109000,10717300,0,0,3,1955,
109000,10749000,0,0,3,1962,
109000,10773000,0,0,3,1969,
109000,10804700,0,0,3,1977,
109000,10836700,0,0,3,1984,
109000,10851900,0,0,3,1991,
109000,10895500,0,0,3,1999,
109000,10937900,0,0,3,2006,
109000,10991100,0,0,3,2013,
109000,11048200,0,0,3,2021,
109000,11125300,0,0,3,2028,
109000,11192000,0,0,3,2035,
109000,11243600,0,0,3,2043,
109000,11318100,0,0,3,2050,
109000,11400400,0,0,3,2058,
109000,11458300,0,0,3,2066,
109000,11526300,0,0,3,2073,
109000,11590400,0,0,3,2081,
109000,11637000,0,0,3,2088,
109000,11702900,0,0,3,2096,
109000,11768600,0,0,3,2103,
109000,11833700,0,0,3,2111,
109000,11898700,0,0,3,2118,
109000,11950900,0,0,3,2126,
